game_id,season,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface
2024_03_HOU_MIN,2024,3,2024-09-22,13:00,MIN,HOU,34.0,7.0,27.0,41.0,-2.0,46.0,114.0,-135.0,U.S. Bank Stadium,dome,sportturf
2024_03_PHI_NO,2024,3,2024-09-22,13:00,NO,PHI,12.0,15.0,-3.0,27.0,2.5,49.0,-142.0,120.0,Mercedes-Benz Superdome,dome,sportturf
2024_03_LAC_PIT,2024,3,2024-09-22,13:00,PIT,LAC,20.0,10.0,10.0,30.0,3.0,36.0,-148.0,124.0,Acrisure Stadium,outdoors,grass
2024_03_DEN_TB,2024,3,2024-09-22,13:00,TB,DEN,7.0,26.0,-19.0,33.0,6.0,40.5,-245.0,200.0,Raymond James Stadium,outdoors,grass
2024_03_GB_TEN,2024,3,2024-09-22,13:00,TEN,GB,14.0,30.0,-16.0,44.0,3.0,37.0,-162.0,136.0,Nissan Stadium,outdoors,grass
2024_03_CAR_LV,2024,3,2024-09-22,16:05,LV,CAR,22.0,36.0,-14.0,58.0,5.5,40.0,-245.0,200.0,Allegiant Stadium,dome,grass
2024_03_MIA_SEA,2024,3,2024-09-22,16:05,SEA,MIA,24.0,3.0,21.0,27.0,4.0,41.5,-205.0,170.0,Lumen Field,outdoors,fieldturf
2024_03_DET_ARI,2024,3,2024-09-22,16:25,ARI,DET,13.0,20.0,-7.0,33.0,-3.0,51.5,124.0,-148.0,State Farm Stadium,closed,grass
2024_03_BAL_DAL,2024,3,2024-09-22,16:25,DAL,BAL,25.0,28.0,-3.0,53.0,-1.5,47.5,100.0,-120.0,AT&T Stadium,closed,matrixturf
2024_03_SF_LA,2024,3,2024-09-22,16:25,LA,SF,27.0,24.0,3.0,51.0,-6.0,44.5,210.0,-258.0,SoFi Stadium,dome,matrixturf
2024_03_KC_ATL,2024,3,2024-09-22,20:20,ATL,KC,17.0,22.0,-5.0,39.0,-3.0,46.0,142.0,-170.0,Mercedes-Benz Stadium,closed,fieldturf
2024_03_JAX_BUF,2024,3,2024-09-23,19:30,BUF,JAX,47.0,10.0,37.0,57.0,4.0,46.5,-218.0,180.0,New Era Field,outdoors,a_turf
2024_03_WAS_CIN,2024,3,2024-09-23,20:15,CIN,WAS,33.0,38.0,-5.0,71.0,7.5,46.0,-355.0,280.0,Paycor Stadium,outdoors,fieldturf
2024_04_DAL_NYG,2024,4,2024-09-26,20:15,NYG,DAL,15.0,20.0,-5.0,35.0,-5.5,45.0,205.0,-250.0,MetLife Stadium,outdoors,fieldturf
2024_04_NO_ATL,2024,4,2024-09-29,13:00,ATL,NO,26.0,24.0,2.0,50.0,2.5,41.5,-142.0,120.0,Mercedes-Benz Stadium,closed,fieldturf
2024_04_CIN_CAR,2024,4,2024-09-29,13:00,CAR,CIN,24.0,34.0,-10.0,58.0,-4.5,47.0,170.0,-205.0,Bank of America Stadium,outdoors,grass
2024_04_LA_CHI,2024,4,2024-09-29,13:00,CHI,LA,24.0,18.0,6.0,42.0,3.0,40.0,-162.0,136.0,Soldier Field,outdoors,grass
2024_04_MIN_GB,2024,4,2024-09-29,13:00,GB,MIN,29.0,31.0,-2.0,60.0,2.5,44.0,-135.0,114.0,Lambeau Field,outdoors,grass
2024_04_JAX_HOU,2024,4,2024-09-29,13:00,HOU,JAX,24.0,20.0,4.0,44.0,5.5,44.5,-238.0,195.0,NRG Stadium,closed,astroturf
