game_id,team,season,week,total_epa,success_rate,total_yards,total_plays,pass_plays,rush_plays,touchdowns,interceptions,fumbles_lost,epa_per_play,yards_per_play
2024_02_BUF_MIA,MIA,2024,2,-20.961727,0.47191012,351.0,89,44.0,32.0,2.0,3.0,0.0,-0.23552502407116838,3.943820224719101
2024_02_CHI_HOU,CHI,2024,2,-11.688451,0.4,205.0,90,52.0,18.0,1.0,2.0,0.0,-0.12987167570326064,2.2777777777777777
2024_02_CHI_HOU,HOU,2024,2,-5.0288997,0.3902439,310.0,83,40.0,21.0,1.0,0.0,1.0,-0.06058915264635201,3.7349397590361444
2024_02_CIN_KC,CIN,2024,2,4.4495,0.5185185,320.0,81,44.0,20.0,3.0,0.0,1.0,0.054932099801522714,3.950617283950617
2024_02_CIN_KC,KC,2024,2,-0.4846294,0.53846157,286.0,79,37.0,28.0,2.0,2.0,1.0,-0.006134549273720271,3.6202531645569622
2024_02_CLE_JAX,CLE,2024,2,4.2126513,0.4431818,297.0,88,42.0,30.0,1.0,0.0,0.0,0.04787103696302934,3.375
2024_02_CLE_JAX,JAX,2024,2,-2.5553744,0.45945945,323.0,75,40.0,19.0,1.0,0.0,0.0,-0.03407165845235189,4.306666666666667
2024_02_IND_GB,GB,2024,2,0.07800081,0.39759037,383.0,84,19.0,51.0,1.0,0.0,1.0,0.0009285811157453628,4.559523809523809
2024_02_IND_GB,IND,2024,2,-6.761298,0.46376812,338.0,69,38.0,17.0,1.0,3.0,0.0,-0.09798982869023862,4.898550724637682
2024_02_LAC_CAR,CAR,2024,2,-24.913067,0.30769232,159.0,65,31.0,17.0,0.0,1.0,0.0,-0.3832779517540565,2.4461538461538463
2024_02_LAC_CAR,LAC,2024,2,4.3937016,0.5125,349.0,81,24.0,42.0,3.0,1.0,1.0,0.0542432290536386,4.308641975308642
2024_02_LA_ARI,ARI,2024,2,25.732183,0.5875,489.0,80,27.0,39.0,5.0,0.0,1.0,0.32165229320526123,6.1125
2024_02_LA_ARI,LA,2024,2,-9.51961,0.530303,245.0,67,32.0,20.0,1.0,0.0,1.0,-0.142083737387586,3.656716417910448
2024_02_LV_BAL,BAL,2024,2,-3.0371466,0.45454547,358.0,89,38.0,25.0,2.0,1.0,0.0,-0.03412524234043079,4.022471910112359
2024_02_LV_BAL,LV,2024,2,2.38122,0.49367088,260.0,79,46.0,16.0,2.0,1.0,0.0,0.030142026611521273,3.2911392405063293
2024_02_NO_DAL,DAL,2024,2,-6.45326,0.4597701,353.0,87,49.0,20.0,1.0,2.0,0.0,-0.07417540166569853,4.057471264367816
2024_02_NO_DAL,NO,2024,2,24.301178,0.5972222,432.0,73,19.0,37.0,6.0,1.0,0.0,0.332892849020762,5.917808219178082
2024_02_NYG_WAS,NYG,2024,2,6.110142,0.45588234,304.0,68,33.0,23.0,3.0,0.0,1.0,0.08985503280864042,4.470588235294118
2024_02_NYG_WAS,WAS,2024,2,11.82465,0.47191012,425.0,90,41.0,29.0,0.0,0.0,0.0,0.13138499789767796,4.722222222222222
2024_02_NYJ_TEN,NYJ,2024,2,6.4045777,0.45945945,265.0,75,34.0,22.0,3.0,0.0,0.0,0.08539436976114909,3.533333333333333
2024_02_NYJ_TEN,TEN,2024,2,-5.312185,0.4625,300.0,80,38.0,28.0,2.0,1.0,1.0,-0.06640231013298034,3.75
