Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,team,season
"Thursday, Apr 18",ARI,@,SFG,L,0.0,5.0,9.0,9-11,3.0,2.5,Webb,Allen,None,2:12,N,26896.0,.94,-2,,ARI,2024
"Friday, Apr 19",ARI,@,SFG,W,17.0,1.0,9.0,10-11,3.0,1.5,Montgomery,Snell,None,3:00,N,33921.0,.91,1,,ARI,2024
"Saturday, Apr 20",ARI,@,SFG,L,3.0,7.0,9.0,10-12,3.0,1.5,Walker,Gallen,None,2:34,D,31063.0,1.01,-1,,ARI,2024
"Sunday, Apr 21",ARI,@,SFG,W,5.0,3.0,9.0,11-12,3.0,1.5,Cecconi,Miller,Ginkel,2:40,D,35922.0,.96,1,,ARI,2024
"Monday, Apr 22",ARI,@,STL,L-wo,3.0,5.0,9.0,11-13,3.0,2.0,Helsley,Thompson,None,2:30,N,33036.0,.95,-1,,ARI,2024
"Tuesday, Apr 23",ARI,@,STL,W,14.0,1.0,9.0,12-13,3.0,2.0,Henry,Matz,Allen,2:37,N,32875.0,.88,1,,ARI,2024
"Wednesday, Apr 24",ARI,@,STL,L,1.0,5.0,9.0,12-14,3.0,3.0,Gibson,Montgomery,None,2:21,D,36390.0,.93,-1,,ARI,2024
"Friday, Apr 26",ARI,@,SEA,L,1.0,6.0,9.0,12-15,4.0,4.5,Hancock,Gallen,None,2:09,N,33997.0,.82,-2,,ARI,2024
"Saturday, Apr 27",ARI,@,SEA,L,1.0,3.0,9.0,12-16,4.0,5.5,Kirby,Cecconi,Muñoz,2:16,N,38956.0,.77,-3,,ARI,2024
"Sunday, Apr 28",ARI,@,SEA,W,3.0,2.0,9.0,13-16,3.0,4.5,Mantiply,Thornton,Ginkel,2:26,D,33474.0,.71,1,,ARI,2024
"Monday, Apr 29",ARI,Home,LAD,L,4.0,8.0,9.0,13-17,3.0,5.5,Paxton,Henry,None,2:50,N,36985.0,.91,-1,,ARI,2024
"Tuesday, Apr 30",ARI,Home,LAD,W-wo,4.0,3.0,10.0,14-17,3.0,4.5,McGough,Crismatt,None,2:47,N,28667.0,.85,1,,ARI,2024
"Wednesday, May 1",ARI,Home,LAD,L,0.0,8.0,9.0,14-18,4.0,5.5,Yamamoto,Montgomery,None,2:49,N,34088.0,.94,-1,,ARI,2024
"Friday, May 3",ARI,Home,SDP,L,1.0,7.0,9.0,14-19,4.0,6.5,Cease,Cecconi,None,2:36,N,31976.0,.80,-2,,ARI,2024
"Saturday, May 4",ARI,Home,SDP,L,1.0,13.0,9.0,14-20,4.0,7.5,King,Pfaadt,None,2:50,N,39661.0,.76,-3,,ARI,2024
"Sunday, May 5",ARI,Home,SDP,W,11.0,4.0,9.0,15-20,3.0,7.5,Nelson,Waldron,None,2:39,D,30968.0,.67,1,,ARI,2024
"Tuesday, May 7",ARI,@,CIN,W,6.0,2.0,9.0,16-20,3.0,8.0,Gallen,Montas,None,2:27,N,14485.0,.67,2,,ARI,2024
"Wednesday, May 8",ARI,@,CIN,W,4.0,3.0,9.0,17-20,3.0,8.0,Montgomery,Ashcraft,Mantiply,2:42,N,15660.0,.74,3,,ARI,2024
"Thursday, May 9",ARI,@,CIN,W,5.0,4.0,9.0,18-20,3.0,7.5,Ginkel,Cruz,Sewald,2:51,D,18214.0,.79,4,,ARI,2024
"Friday, May 10",ARI,@,BAL,L,2.0,4.0,9.0,18-21,3.0,7.5,Irvin,Pfaadt,Cano,2:34,N,27703.0,.80,-1,,ARI,2024
"Saturday, May 11",ARI,@,BAL,L-wo,4.0,5.0,11.0,18-22,3.0,8.5,Kimbrel,Jarvis,None,3:11,D,27882.0,.74,-2,,ARI,2024
"Sunday, May 12",ARI,@,BAL,W,9.0,2.0,9.0,19-22,3.0,7.5,Gallen,Kremer,None,2:43,D,31448.0,.68,1,,ARI,2024
"Monday, May 13",ARI,Home,CIN,W-wo,6.0,5.0,9.0,20-22,3.0,7.5,Martinez,Díaz,None,3:18,N,18017.0,.77,2,,ARI,2024
"Tuesday, May 14",ARI,Home,CIN,L,2.0,6.0,9.0,20-23,3.0,8.5,Greene,Cecconi,None,2:30,N,20068.0,.82,-1,,ARI,2024
"Wednesday, May 15",ARI,Home,CIN,W,2.0,1.0,9.0,21-23,2.0,7.5,Thompson,Cruz,Sewald,1:59,D,16826.0,.75,1,,ARI,2024
"Friday, May 17",ARI,Home,DET,L,0.0,13.0,9.0,21-24,3.0,8.0,Skubal,Nelson,None,2:17,N,25122.0,.81,-1,,ARI,2024
"Saturday, May 18",ARI,Home,DET,L,3.0,8.0,9.0,21-25,4.0,9.0,Flaherty,Gallen,None,2:51,N,35826.0,.76,-2,,ARI,2024
"Sunday, May 19",ARI,Home,DET,W,6.0,4.0,9.0,22-25,4.0,9.0,Thompson,Holton,Sewald,2:37,D,26991.0,.68,1,,ARI,2024
"Monday, May 20",ARI,@,LAD,L,4.0,6.0,9.0,22-26,4.0,10.0,Yamamoto,Cecconi,Hudson,2:39,N,37634.0,.84,-1,,ARI,2024
"Tuesday, May 21",ARI,@,LAD,W,7.0,3.0,9.0,23-26,3.0,9.0,Pfaadt,Stone,None,2:30,N,46180.0,.77,1,,ARI,2024
"Wednesday, May 22",ARI,@,LAD,W,6.0,0.0,9.0,24-26,3.0,8.0,Nelson,Glasnow,None,2:40,N,46593.0,.83,2,,ARI,2024
"Friday, May 24",ARI,Home,MIA,L,0.0,3.0,9.0,24-27,4.0,8.0,Garrett,Gallen,None,1:58,N,22642.0,.78,-1,,ARI,2024
"Saturday, May 25",ARI,Home,MIA,W,3.0,2.0,9.0,25-27,4.0,7.0,Montgomery,Sánchez,Sewald,2:21,N,31966.0,.74,1,,ARI,2024
"Sunday, May 26",ARI,Home,MIA,L,1.0,3.0,9.0,25-28,4.0,7.0,Weathers,Ginkel,Scott,2:37,D,25723.0,.80,-1,,ARI,2024
"Tuesday, May 28",ARI,@,TEX,L,2.0,4.0,9.0,25-29,4.0,8.5,Heaney,Pfaadt,Yates,2:11,N,37977.0,.76,-2,,ARI,2024
"Wednesday, May 29",ARI,@,TEX,L,1.0,6.0,9.0,25-30,4.0,9.5,Dunning,Nelson,None,2:42,D,34023.0,.70,-3,,ARI,2024
"Thursday, May 30",ARI,@,NYM,L,2.0,3.0,9.0,25-31,4.0,10.0,Young,Thompson,Garrett,2:43,N,20926.0,.68,-4,,ARI,2024
"Friday, May 31",ARI,@,NYM,L,9.0,10.0,9.0,25-32,4.0,10.0,Severino,Montgomery,None,2:51,N,33884.0,.59,-5,,ARI,2024
"Saturday, Jun 1",ARI,@,NYM,W,10.0,5.0,9.0,26-32,4.0,10.0,Ginkel,Manaea,None,2:53,D,30600.0,.57,1,,ARI,2024
"Sunday, Jun 2",ARI,@,NYM,W,5.0,4.0,9.0,27-32,4.0,10.0,Martinez,Diekman,Sewald,2:40,D,31059.0,.61,2,,ARI,2024
"Monday, Jun 3",ARI,Home,SFG,W-wo,4.0,2.0,9.0,28-32,4.0,9.5,Thompson,Rodríguez,None,2:12,N,21551.0,.70,3,,ARI,2024
